theta1_deg,theta2_deg,theta3_deg,r1_m,r2_m,phi1_deg,phi2_deg,rho,h_star_m,obj_star
-20.6835,-2.0789,69.7772,95.9238,160.446,22.2327,68.1109,0.6915,138.889,0.4315193131317587
-25.7636,23.9952,41.4625,170.3588,112.9747,-35.3577,-26.3186,0.7247,172.222,0.318389267538318
-31.8553,-12.4292,28.4062,81.2136,122.0594,-64.7298,-50.6488,0.7868,105.556,0.37824593782887517
-53.5943,-24.9495,49.8216,122.4665,30.8863,0.6845,72.4034,0.6853,116.667,0.5131877818371073
-68.8312,-37.8955,67.5846,97.9846,193.8179,-78.9079,81.044,0.3553,161.111,0.43513682774555507
-29.0319,18.9953,57.4155,106.4771,51.9152,22.4766,-9.727,0.4317,83.333,0.2590051985399193
-60.4905,7.7203,60.0051,122.1871,174.501,-73.449,-13.1913,0.7741,161.111,0.5167791905175665
-69.7603,-34.4699,57.7772,192.0639,83.1588,-73.528,1.4841,0.2296,161.111,0.2756945884555115
1.5167,18.9558,41.2002,51.9466,75.1804,-58.5545,46.3936,0.7753,61.111,0.30999255010511484
-59.7685,-39.7075,61.2451,46.1376,129.5756,-81.4287,-46.9356,0.5479,116.667,0.5592215652881971
-59.1079,-2.0436,68.3661,66.6256,96.3627,-84.221,45.4887,0.8627,83.333,0.616393442889349
-58.5805,-34.5011,-14.7233,139.0758,116.6264,-76.2971,-10.2,0.3271,138.889,0.23675606199650318
5.504,28.3379,58.6071,147.1571,171.0651,-19.8311,-16.1706,0.6832,161.111,0.31856392804785866
-62.6792,0.7876,27.9572,131.852,108.6124,22.8354,-84.5091,0.7519,116.667,0.4160335539597371
-49.0629,26.2139,43.457,182.4423,44.4106,64.2481,-76.5495,0.4337,183.333,0.5682906873798548
-67.6199,-27.0428,42.9926,183.4093,49.8351,-69.244,-75.6243,0.577,161.111,0.5429465666086172
-60.6984,-19.6881,23.2171,37.0202,187.4374,51.1543,10.8502,0.4349,172.222,0.4905778410045596
-61.7577,-20.8812,49.7875,106.6087,51.5498,-24.6889,-19.116,0.2576,83.333,0.13937189438233574
-48.6356,-5.1477,12.1548,61.9043,145.733,23.5314,68.7334,0.604,116.667,0.4194049300673982
-44.7169,-19.9467,7.8961,50.2049,162.3757,-23.3621,-62.4036,0.6761,72.222,0.38495120632259655
-53.0561,-8.404,21.0791,187.0034,183.4681,-79.7854,-21.0292,0.6828,194.444,0.42120969700066846
-50.351,20.7616,52.9285,98.2292,133.8598,-26.3417,13.5557,0.286,116.667,0.171316117790743
-48.9174,-18.1963,44.0941,195.515,81.4915,-26.0729,15.0353,0.4224,150.0,0.3069184764134043
-64.9555,-4.6084,26.6608,57.2008,85.8277,-81.8846,-45.2367,0.5718,72.222,0.4352718698801795
-44.9235,2.3258,55.3537,72.8903,45.1743,84.1271,-36.3499,0.8006,61.111,0.4789836997568612
4.299,21.2015,55.9765,36.9043,82.2433,59.5741,-68.7121,0.2694,72.222,0.2784505737786642
-46.8928,38.8453,59.9562,33.3008,83.4953,-32.9435,43.2515,0.5618,61.111,0.4099072933483855
-53.4884,-27.487,58.4914,48.5925,67.8274,-45.4778,54.8811,0.8376,55.556,0.4478580067299826
-53.0746,-37.2315,-9.2023,67.8928,70.2195,-0.5033,-27.2177,0.3936,72.222,0.2213894793942229
-68.3801,-48.6175,33.4513,126.857,162.7843,45.837,-47.3926,0.1064,150.0,0.07962208476224268
-58.8638,15.1643,56.4429,188.9219,196.7432,-76.5899,60.0484,0.4773,194.444,0.3708478702924468
-56.8119,19.0068,61.4233,113.8811,85.4437,20.6373,-6.6472,0.4877,94.444,0.2888429178118731
-30.016,-9.7308,16.9197,158.6363,181.7751,-74.72,-31.0442,0.7431,150.0,0.3091755841212433
-39.9551,18.2445,50.436,102.9967,168.8455,-79.6414,-45.9699,0.1455,138.889,0.17791045770631103
-39.4949,-10.8372,56.759,65.8797,98.6159,46.8148,-59.7239,0.6074,83.333,0.38168035969123104
16.39,38.0792,59.3527,175.1839,161.5522,-12.4408,-41.898,0.6377,172.222,0.38912982983331346
-48.664,-30.4741,60.7183,125.8578,50.6446,39.4931,44.3128,0.7024,105.556,0.5090242785862701
-54.3999,-24.6894,8.3825,98.6082,194.1537,-16.9424,-76.0315,0.4574,172.222,0.367644940284634
-12.8749,3.7924,45.3357,50.0654,77.8313,16.2681,-20.8645,0.3082,61.111,0.18127051051838416
-51.4591,16.7045,64.556,95.6652,163.0365,78.3561,-55.4904,0.4761,127.778,0.36888048085135805
-36.432,3.46,36.0046,35.7879,183.9535,15.8984,-18.2607,0.6072,172.222,0.43140191103220715
-62.49,-12.9627,46.7146,177.2347,101.3669,-64.9235,-56.0231,0.1119,150.0,0.07161338978401147
-68.9448,-43.1039,-5.858,141.9465,191.0399,-63.0316,83.8533,0.1142,183.333,0.1295305762361244
-39.5796,-12.1103,30.7636,108.9646,89.5257,-30.9716,61.4363,0.2707,94.444,0.1614447264092934
-67.326,-17.8349,41.9926,75.0813,142.7167,-69.283,23.9456,0.616,116.667,0.4529872048691018
-60.8913,-38.027,6.8527,76.2369,94.3003,-44.2107,-9.2432,0.181,83.333,0.11527593358312586
-38.8103,17.9118,63.0764,157.6786,196.4662,84.8159,-53.9833,0.4825,183.333,0.42175112826710365
-22.2183,-4.474,55.9861,194.7306,35.0477,15.9009,80.0759,0.742,194.444,0.448928501768313
-68.6906,10.9536,42.1556,53.5145,58.3778,4.4211,-36.1733,0.2387,55.556,0.1541579412248096
-60.737,32.2299,63.7656,81.3351,95.2837,-84.2101,39.637,0.4437,83.333,0.4002877246636295
-40.623,18.4129,34.445,197.0692,139.887,-28.4229,8.84,0.1175,183.333,0.07571784706443438
-63.1434,-26.8147,-7.9435,75.6315,187.76,76.8535,-25.6071,0.3005,138.889,0.36090658743891085
-30.9637,11.8648,59.7198,96.6543,53.5713,56.6489,-24.8261,0.2204,83.333,0.1112033956397566
-53.8604,-22.9755,64.1908,53.5271,178.4616,-1.4581,40.6874,0.7017,161.111,0.5369046744450575
-65.8911,-0.0886,19.3709,150.8742,75.0437,-20.7583,-1.551,0.3789,138.889,0.19913586355973595
8.8494,37.7267,60.1261,142.7946,193.2259,-39.6249,19.8133,0.6129,172.222,0.4022535545558314
-50.9106,-30.3858,42.5582,84.7852,54.2993,-11.8067,8.9862,0.3001,72.222,0.1912110786463031
7.7795,29.9323,48.7716,39.2997,95.1636,47.3948,41.4279,0.2213,72.222,0.11070896576754853
-63.7305,16.2785,54.8908,94.2686,35.4097,-18.5167,-41.3436,0.7605,83.333,0.5161723115838155
-47.2093,-0.8213,23.2168,168.8991,39.2283,53.2397,-53.5784,0.3222,138.889,0.4085094930924316
-7.9792,38.3772,67.0941,81.5135,163.7093,83.5085,80.998,0.2148,127.778,0.2631504263203817
-60.4101,9.3356,56.4529,61.0256,196.8097,84.1718,-1.8741,0.7126,194.444,0.5360061295556977
-32.7465,-3.0966,61.026,70.4488,191.1918,-79.9625,11.9766,0.6089,183.333,0.4921641390716557
-62.4728,21.5769,68.2149,187.4303,180.1193,-1.5202,84.9878,0.5143,194.444,0.4448981106954056
10.5898,27.1516,65.1568,75.5943,96.1512,3.7267,-10.1706,0.3168,94.444,0.1819423649282224
-35.1082,26.7014,63.2171,126.917,155.8654,-65.6996,-53.9779,0.5648,150.0,0.4171364240207579
-21.489,14.8379,45.455,74.9739,128.0114,8.5848,6.3611,0.194,116.667,0.08231922503687977
-25.2455,6.5313,32.9585,108.0633,50.6274,81.5774,11.4094,0.1881,94.444,0.18997135759789385
-60.6421,-37.9091,20.8515,170.6422,140.9819,-51.5934,83.019,0.7919,161.111,0.49034513786131995
-6.0102,48.6588,69.3108,169.6655,35.8506,-62.4831,29.8722,0.71,50.0,0.5964145846303093
-11.2325,48.2569,69.1021,182.6514,57.9747,63.4844,44.8247,0.1046,138.889,0.16143568709330036
-26.8992,-3.2384,31.2748,106.7149,75.1518,65.847,-13.1733,0.8363,94.444,0.3375573416154297
-43.7603,-4.5464,48.9619,34.8294,91.6958,66.6048,80.0121,0.5321,72.222,0.4883123436823097
-63.4881,-6.86,21.5504,137.5599,90.6027,32.7933,83.538,0.3967,116.667,0.3723668315613569
-36.2862,22.3425,54.3329,167.1076,121.3011,-20.0397,78.6593,0.8132,161.111,0.46232940196507855
10.4271,28.1044,68.6034,170.3744,56.0103,-50.9152,13.774,0.3757,138.889,0.3428682551732721
-61.6226,-42.1935,0.0364,56.9883,112.4175,75.3383,34.2688,0.2673,83.333,0.34291085543768823
-56.5255,-6.4239,57.8813,189.122,118.1804,30.53,-29.0384,0.5035,161.111,0.3241909037345131
-54.8926,-19.8273,40.4628,103.7419,33.6586,-26.7772,55.7397,0.7396,83.333,0.45406254614153474
-20.2505,6.5399,35.5229,82.453,67.235,-80.8757,78.5054,0.2608,72.222,0.24717501690027796
-27.6387,3.5969,37.2352,65.8361,36.6462,56.8324,28.0069,0.4566,55.556,0.2841226508065796
-44.2096,-8.011,7.1842,150.9114,44.1778,45.3287,1.2396,0.5305,127.778,0.37766048318943823
-68.3579,-42.9223,-3.5918,80.7923,129.3073,-71.8499,66.9331,0.7592,105.556,0.5544300162318525
-33.3906,-9.1233,17.0414,101.7939,166.7512,42.5069,-1.4856,0.1136,138.889,0.06767300395177318
-44.7649,25.1361,64.2606,64.3558,183.4884,9.8694,-79.2037,0.6131,61.111,0.5633518104694961
-44.1955,-25.0876,16.3862,189.6458,57.0545,49.8212,-68.6046,0.3668,172.222,0.4727552370664786
-62.2306,-44.5283,33.3237,176.7075,101.0283,-71.1585,-69.685,0.6968,150.0,0.4938504354680543
-57.0099,-28.0315,43.8652,198.5746,33.8089,-41.9687,34.7205,0.6276,50.0,0.5061243725091755
-56.3369,-28.1077,57.0371,48.6537,105.017,66.6087,-15.1107,0.6007,83.333,0.42843471805381184
-62.677,-44.2214,-7.5038,161.3328,98.5249,-19.8817,37.0857,0.7444,138.889,0.48338729713684475
-59.4366,2.3382,66.3542,31.2064,81.1353,56.6017,-19.084,0.3063,61.111,0.2608747705087777
-10.3788,15.0203,36.2275,188.1233,177.9912,32.0976,-10.0259,0.6784,250.0,0.21632685290862522
-57.11,7.542,65.936,95.0995,57.2349,-67.3934,-75.8134,0.5108,83.333,0.4683095573965665
-40.4901,8.6524,45.3791,125.7049,149.463,54.9783,-5.2316,0.4041,138.889,0.22695070460399325
-66.8287,-37.5684,69.6122,102.48,65.8284,-14.853,45.9964,0.3009,83.333,0.2639973422130621
-11.061,18.9928,40.5355,56.2307,190.4928,-25.3956,-74.0471,0.2464,161.111,0.43576347406301413
-55.1353,12.7497,46.3732,72.7262,186.9338,84.6706,32.7021,0.4236,161.111,0.5003031929859568
-14.1682,4.7789,54.5995,159.0901,155.001,8.7766,60.5262,0.1555,161.111,0.06463850693112293
-62.8693,27.7851,54.5439,62.2387,75.598,-82.0612,-42.0552,0.5433,72.222,0.4501150455387827
-61.915,-34.5865,61.9455,148.9965,68.5627,-35.4153,75.86,0.8634,116.667,0.5800443129128461
-7.4649,23.7609,45.5939,177.6072,76.7345,59.02,-5.9326,0.6044,161.111,0.30511889967444616
-55.0096,-32.7843,61.8073,96.3639,197.5274,-35.7261,21.5086,0.1461,172.222,0.11295469069726431
-56.08,-23.8538,52.2373,90.7669,169.6458,30.0081,-5.4804,0.8956,150.0,0.4970776540308469
-5.8914,18.8443,67.6874,65.9772,79.7265,48.6686,-42.8895,0.6989,72.222,0.42970590408320003
-33.416,11.6175,68.4456,124.3286,152.0252,2.1893,-76.6406,0.45,150.0,0.3758388521865343
-12.7743,39.8393,55.692,105.9514,40.8013,13.8709,14.9742,0.7361,83.333,0.43179384176667673
-17.651,25.166,69.5498,31.0059,81.978,70.8629,-68.3416,0.3808,61.111,0.4541802072371669
-44.8002,-19.309,43.8386,55.5083,181.0146,21.3481,-37.7524,0.5695,150.0,0.3963030341444531
-2.6517,40.7429,56.3506,126.3924,196.8659,-34.0188,78.4803,0.7424,172.222,0.47711712843508153
-56.1449,-6.1001,23.7835,79.1804,130.5646,20.2162,-18.1456,0.1816,127.778,0.10241199778736067
11.0491,37.6569,54.0498,117.9185,79.994,22.9081,-14.2878,0.4367,105.556,0.2854396525494224
-66.5684,-41.8025,66.5417,165.1039,185.9568,60.5775,-63.5699,0.6342,183.333,0.5199928073554073
-52.9501,-8.7029,13.9226,178.9472,153.552,42.7454,44.5592,0.8135,172.222,0.3486891640315964
-54.0332,39.9321,64.5719,53.764,159.767,47.6647,1.0625,0.3578,127.778,0.38864872168190534
-3.9439,21.6148,50.6976,104.4338,40.7849,-47.4197,5.3002,0.6496,83.333,0.38315316834939295
-56.8795,-39.0064,27.3777,96.2281,126.1446,0.6541,-39.3767,0.1861,105.556,0.10684136170577088
-46.0944,-3.5473,50.8903,73.8392,84.9704,15.995,-82.1304,0.7598,83.333,0.45111263692880554
4.3833,28.1201,51.9946,49.5228,30.2486,76.2237,-67.8409,0.1277,50.0,0.161937891568235
-33.8719,11.6281,52.5086,108.0244,71.8189,-24.4128,66.1828,0.1632,94.444,0.12755140963976921
-29.2414,10.4955,46.9884,127.3615,59.234,53.2568,42.8993,0.8766,105.556,0.3474059297641193
-50.4431,-20.3069,59.5573,60.4206,109.9979,64.0799,-31.381,0.1694,94.444,0.1354906193440295
-46.6948,10.3796,34.2001,126.5397,95.185,-27.6016,20.6095,0.708,116.667,0.3682078489743148
-63.5988,-44.088,5.8138,55.637,32.2554,-59.1545,69.9869,0.3422,50.0,0.31620286155443794
-10.1773,46.2122,68.9803,95.5651,67.1187,78.1189,15.4973,0.821,83.333,0.5431166063970315
-43.9751,-27.2177,22.3838,140.7152,70.1583,7.096,83.4341,0.1236,105.556,0.19755432699615674
-67.6776,-25.6028,51.5557,140.7751,151.5808,-16.5158,2.6748,0.5269,150.0,0.3426398730247643
-28.838,10.0885,30.2331,97.8805,128.825,-34.9229,73.8562,0.7517,116.667,0.32961996993299675
-30.8864,3.9747,56.3647,84.5598,152.1762,-44.4135,-81.6335,0.4464,127.778,0.45006200186508605
-62.1691,-23.6906,44.7878,148.3041,89.302,10.4761,18.2279,0.3289,127.778,0.23240427426619878
-39.4496,3.3842,33.3245,161.0219,71.2794,-50.2625,32.0127,0.8229,138.889,0.3384146346666629
-54.1183,7.1401,22.4102,177.7244,141.5381,-26.5344,67.3974,0.5218,161.111,0.34309994327651683
-26.912,28.7556,67.0025,148.5873,103.377,51.3369,-61.4673,0.5766,127.778,0.43293018461014676
-50.0383,3.5653,30.0659,102.2409,59.7498,46.723,-26.6949,0.8555,83.333,0.41848429956551636
9.2516,53.0836,68.359,179.2465,108.6478,-44.627,54.3546,0.2858,172.222,0.19241339303913418
-41.0575,-9.1321,69.1283,177.2428,152.9438,30.1688,-1.7615,0.6415,172.222,0.40319504118103283
-64.0048,13.5328,28.7509,40.9677,59.893,-1.7056,37.1249,0.1472,50.0,0.09427081901226478
-6.7628,23.074,51.2227,166.2937,63.277,68.0529,47.9305,0.3143,138.889,0.29500451551485185
-42.9482,6.8624,27.0053,143.8662,179.2453,-51.8858,-46.3641,0.8523,150.0,0.3002668520586855
-55.6717,-15.4662,52.9363,45.1458,118.8592,26.7885,-49.6314,0.2708,94.444,0.25456663931985346
-62.1557,-35.7624,-10.9004,126.3809,43.7501,-79.6793,75.9331,0.895,127.778,0.49141124272140385
-49.6809,-26.7948,-7.8235,146.3149,115.9448,32.4599,47.1858,0.3269,138.889,0.21279726155054085
-51.3255,19.6469,36.3537,76.828,128.5592,-25.9356,66.6213,0.5969,116.667,0.3834679498180611
-57.6471,-10.244,26.389,142.0794,121.3385,9.8278,4.7312,0.6278,138.889,0.3096608926338807
-58.1723,-16.1629,17.7539,73.3314,90.6878,-9.2046,-41.0591,0.4166,83.333,0.2363965099198641
-68.9541,23.9432,56.3897,177.0257,98.8275,-76.6749,-40.5903,0.3037,161.111,0.32301326870109204
-40.9035,13.9091,40.903,73.9032,30.6378,-79.6449,29.2149,0.7746,55.556,0.4270601371030298
-66.9907,-37.1482,3.8348,123.813,139.8745,-55.7921,11.6883,0.1198,138.889,0.07758984279199242
-68.959,-36.0782,54.3709,34.5519,131.565,66.0554,34.6626,0.4581,105.556,0.5289350300531379
-43.9203,18.5833,54.7582,160.9176,185.1634,-29.1489,32.7831,0.7921,183.333,0.469800159019138
-45.4157,-28.1396,39.9487,117.3931,74.8703,65.1975,-36.2828,0.1971,105.556,0.16006655206492348
-64.5758,47.792,68.099,37.9315,116.0544,32.4227,31.6682,0.2414,83.333,0.25058258662996563
-61.0263,-10.2676,35.9951,164.8427,171.8465,64.8709,-45.3202,0.7426,172.222,0.4658557821490947
-20.2724,-3.8063,63.3931,48.9738,101.6757,-48.7818,-77.9042,0.7651,72.222,0.501624536587113
-39.3467,10.6397,54.6299,81.2906,80.886,-55.254,-7.5084,0.1723,83.333,0.11980522922457014
-8.9745,24.6669,52.7982,77.4114,187.7699,58.9071,-49.3704,0.266,150.0,0.24544014467855885
-23.4967,28.9291,66.918,132.7395,46.6251,37.2039,-24.1396,0.7689,105.556,0.44961696443037624
-66.8929,-27.0135,2.6705,170.9162,51.6417,53.8887,-20.6196,0.8993,50.0,0.5167604975081718
-44.8635,-12.2673,58.206,84.9235,89.1961,-28.8961,-10.9426,0.4625,83.333,0.28237940116286114
-69.8324,-12.5972,22.8605,186.4106,78.7117,41.5449,12.0272,0.6064,161.111,0.457574162929247
-22.785,16.9628,34.3274,171.1794,89.5979,49.112,69.0106,0.1439,138.889,0.19959865324481396
-19.4592,12.5378,30.5832,101.5018,118.0455,-37.9172,80.0461,0.8274,105.556,0.3708149556201129
-23.8577,-4.7566,43.7005,72.7205,34.4506,-69.0376,-72.3374,0.4531,61.111,0.353320978617633
-38.511,17.2006,39.0537,175.9216,103.2913,30.3487,-9.2669,0.512,150.0,0.2946768289658724
-55.1769,23.8064,56.6083,141.4412,75.6709,12.7262,-5.4709,0.3265,116.667,0.2393261204154953
-67.7701,16.1667,45.4649,115.4288,118.1963,-7.9145,17.8729,0.3006,116.667,0.18330666744224172
-46.5652,40.7961,64.0847,174.5409,197.0131,-78.9857,-5.9653,0.8673,194.444,0.5829494286209492
-37.7969,-4.3817,52.9554,55.4791,108.0113,75.0468,19.569,0.7875,105.556,0.44923164026100526
-69.634,-25.7802,56.7899,56.0978,87.4758,7.0126,-64.8499,0.8698,72.222,0.5882117037783834
-39.3449,-11.348,39.9782,153.0342,79.649,-54.8425,-4.7824,0.7256,127.778,0.38033050829833276
-66.9953,-38.5619,33.0043,112.8657,35.7719,-52.1825,-6.5014,0.6567,94.444,0.5083641415292827
-52.8881,-5.6055,36.6229,162.0231,143.4914,46.3761,-56.0039,0.3767,161.111,0.18574072995595078
-1.8163,18.8387,39.8484,84.4666,58.8623,-9.4181,64.7161,0.6089,72.222,0.3092518358340765
-65.0979,-34.2414,31.886,62.974,173.1126,33.9646,-52.559,0.3085,138.889,0.255464818018323
-4.9818,46.6034,61.7823,110.5068,38.7595,22.5597,83.6535,0.6092,94.444,0.5113644187504803
-56.4414,-19.4878,56.9989,178.0845,185.2675,60.7471,-57.8168,0.7017,183.333,0.36708195777742425
-31.1861,20.4695,69.6344,156.6839,112.082,48.0051,-78.937,0.3356,138.889,0.33955549831937937
-22.9126,29.4525,66.6676,72.3678,76.4596,42.843,82.5802,0.7198,72.222,0.49454424453539847
-60.4631,-13.1604,32.2942,151.5672,199.7885,-2.8779,12.3377,0.4773,183.333,0.2743269592821335
-1.3784,35.6506,65.6236,126.3533,190.4499,-62.9294,-9.0595,0.7108,172.222,0.44401777456613545
-65.2282,16.9066,59.999,98.5625,120.4253,-37.2344,-84.9202,0.1517,116.667,0.17387070275907007
-53.9136,5.4648,22.273,155.7666,59.4198,-54.2674,75.7497,0.7753,138.889,0.4182119144710344
-51.1244,-11.463,25.6149,133.2185,88.7521,4.231,61.2354,0.8423,116.667,0.38652524070021305
-58.1564,-27.8028,19.8671,140.5594,84.8558,62.2553,24.942,0.801,127.778,0.39704768409695507
-17.0814,4.9644,65.3551,85.9116,52.7181,48.0649,-7.0628,0.6353,72.222,0.41185790640358794
10.2811,45.6071,63.0932,69.0211,65.053,-1.3564,-21.0907,0.5489,72.222,0.3586146402999453
-36.9466,23.4627,48.3,62.3039,97.8257,78.69,-68.4016,0.6213,83.333,0.4629169669774041
-23.752,2.4896,57.106,86.9531,162.3358,20.7064,-6.1196,0.7024,138.889,0.3938660769981721
-20.2357,34.7927,55.0182,73.0213,55.6833,-64.2095,-67.1294,0.4703,61.111,0.34384188617014455
-13.3988,14.8118,55.101,162.5628,183.9244,69.3372,-25.138,0.849,183.333,0.40704368275448144
-23.6888,3.4482,54.5758,41.7763,34.3497,-58.6341,35.8097,0.7742,50.0,0.4134932334640801
-66.0791,-7.4595,29.0476,199.427,120.7105,53.0247,14.4707,0.4491,172.222,0.3144832997793466
-62.5535,-40.8969,4.896,184.74,134.8157,-51.379,54.8814,0.3181,161.111,0.22813810374936455
-60.0563,-1.1901,33.5665,88.2075,177.0273,44.4209,27.1437,0.457,138.889,0.3168094173238702
-56.0605,-11.5309,50.9601,197.9472,102.1306,-46.4268,62.9793,0.4637,161.111,0.3519462657595047
-28.1606,8.8289,49.2078,150.7479,133.8818,68.3025,-44.9584,0.8771,138.889,0.40446801971954294
-56.6003,-37.0631,57.3632,57.5695,146.1768,5.0561,-68.7733,0.7432,127.778,0.5455820281404944
-68.1688,-17.6648,27.2436,177.8343,181.4739,-45.7145,-16.1067,0.1251,183.333,0.08137374316117221
-64.9307,-1.7757,40.2229,196.2155,198.8239,18.9881,40.7493,0.6722,205.556,0.36494053869699306
-36.991,11.9701,45.4104,170.5072,70.4993,42.8047,-10.4907,0.4151,127.778,0.26024945772755315
-38.0032,-3.7807,29.9939,73.3639,129.8693,-66.789,-19.0294,0.5632,105.556,0.3796657768877087
-66.1042,-16.5421,51.5028,106.3603,190.5362,29.6498,0.4162,0.7038,161.111,0.4556171065607664
-63.908,-40.3205,38.268,168.0614,52.786,-14.8864,67.4044,0.5685,150.0,0.5488991193726234
-26.9673,5.4002,67.4842,93.4769,40.1686,-26.4201,-26.0731,0.8078,72.222,0.40749280945921684
-69.1886,-0.4403,34.0642,148.1479,176.1408,-43.1161,-81.1447,0.5292,172.222,0.4079300505573184
-33.4381,30.2291,62.022,88.3064,128.0218,10.9142,-54.0964,0.5056,116.667,0.3351711077098974
-67.1231,-45.9131,-20.0065,148.0075,141.3823,26.1993,37.3004,0.1073,150.0,0.08173793488276855
-65.1382,-12.4145,5.6185,124.4564,47.3594,-37.3101,62.8523,0.6574,116.667,0.48398029815478716
-61.9962,2.77,21.4163,121.2761,48.0023,-3.6979,71.6102,0.778,116.667,0.4484949561568459
-8.9965,17.1004,55.4758,108.7552,167.8133,-77.0866,-8.2839,0.5176,127.778,0.35762451762173963
-50.0435,-18.9605,16.7579,55.1067,152.3554,37.3938,43.4766,0.8916,138.889,0.4026442581026783
-47.4175,-30.9884,0.6906,148.6324,36.2379,28.5555,-67.7708,0.7578,150.0,0.4842917613570591
-35.5882,-3.6805,52.4123,122.1946,177.4334,-71.242,56.957,0.8333,161.111,0.3974616308944703
-37.91,23.4814,52.2207,176.2431,128.6957,-46.3736,44.529,0.2605,161.111,0.13476327460541523
-69.503,-52.135,63.5118,156.2334,87.1042,33.9959,40.2543,0.4362,127.778,0.37017091284343623
-26.2121,-7.4731,29.1947,49.5,110.3993,-33.0835,-5.2071,0.3167,83.333,0.12749120228146985
-66.5029,-28.2957,60.0578,190.0159,34.8452,62.7388,55.5487,0.4415,150.0,0.5121995134088793
-19.2895,12.0696,43.1299,39.1181,62.6987,10.2684,-8.1045,0.5838,61.111,0.2540397170694829
-46.8302,-11.762,35.2497,78.5372,159.1688,59.9181,66.6235,0.338,127.778,0.29105655293461546
-44.2309,-21.4959,-4.0107,50.8615,141.9105,62.4511,36.1229,0.8951,138.889,0.37627915868377604
-9.1444,16.9371,55.1064,185.3354,145.6201,-58.0922,-26.2533,0.6786,172.222,0.3721166682545519
-54.7862,-2.819,20.5126,192.9635,137.4977,-64.2736,-42.3673,0.8458,172.222,0.3670807264804872
-51.5046,5.9103,48.23,193.1211,58.835,-76.9548,22.16,0.3164,161.111,0.4691798726010582
-66.0156,-12.3356,7.1918,95.0221,52.9352,-2.7298,78.254,0.797,83.333,0.4815943541510752
-32.6092,29.191,61.0485,186.588,113.8795,-59.5777,-52.5865,0.8753,161.111,0.46536573334920495
-55.9809,-15.6345,65.291,79.4004,90.8482,-41.4,27.8419,0.1043,83.333,0.07952309552688736
-48.7398,-31.2011,5.5359,196.3828,165.2523,-62.4386,-78.8623,0.7754,194.444,0.44621863329577627
-38.5943,-16.844,1.6765,192.3133,163.4206,7.6623,64.7851,0.723,183.333,0.2948939023473125
-48.8492,-23.2633,42.2906,182.9339,182.6916,48.6953,-2.1902,0.2602,194.444,0.1254551658935972
-30.295,-5.4565,45.188,156.7629,59.0217,-8.4515,-51.4106,0.7304,116.667,0.3630578807983954
-44.8576,33.3477,68.2325,31.0535,62.2315,-72.5271,46.0797,0.8311,55.556,0.5914564360213728
11.0064,32.7011,66.4802,124.4712,37.8486,-52.9307,-67.6374,0.4745,105.556,0.4984464098059648
-49.3802,-18.9779,54.9056,52.167,105.3528,-28.2211,-67.0824,0.8827,83.333,0.5095896988938955
-61.0572,26.6443,41.7282,109.7295,130.4904,-81.0482,5.1514,0.7214,116.667,0.49591090953014305
